W-P,First Choice,Second Choice,Third Choice,Count,undervote,undervote*count,overvote,Total Irregularities,Duplicates,
10-Apr,FLO,FRA,XXX,4,1,4,,,,
2-May,FLO,FRA,XXX,1,1,1,,,,
3-May,FLO,FRA,XXX,4,1,4,,,,
4-May,FLO,FRA,XXX,1,1,1,,,,
5-May,FLO,FRA,XXX,2,1,2,,,,
6-May,FLO,FRA,XXX,2,1,2,,,,
8-May,FLO,FRA,XXX,1,1,1,,,,
2-Jun,FLO,FRA,XXX,1,1,1,,,,
3-Jun,FLO,FRA,XXX,1,1,1,,,,
4-Jun,FLO,FRA,XXX,2,1,2,,,,
6-Jun,FLO,FRA,XXX,2,1,2,,,,
8-Jun,FLO,FRA,XXX,3,1,3,,,,
1-Jul,FLO,FRA,XXX,2,1,2,,,,
9-Jul,FLO,FRA,XXX,1,1,1,,,,
1-Aug,FLO,FRA,XXX,1,1,1,,,,
4-Aug,FLO,FRA,XXX,1,1,1,,,,
5-Aug,FLO,FRA,XXX,1,1,1,,,,
8-Aug,FLO,FRA,XXX,1,1,1,,,,
10-Aug,FLO,FRA,XXX,2,1,2,,,,
6-Sep,FLO,FRA,XXX,2,1,2,,,,
7-Sep,FLO,FRA,XXX,1,1,1,,,,
8-Sep,FLO,FRA,XXX,1,1,1,,,,
3-Oct,FLO,FRA,XXX,1,1,1,,,,
5-Oct,FLO,FRA,XXX,1,1,1,,,,
10-Oct,FLO,FRA,XXX,2,1,2,,,,
11-Oct,FLO,FRA,XXX,1,1,1,,,,
5-Nov,FLO,FRA,XXX,1,1,1,,,,
6-Nov,FLO,FRA,XXX,1,1,1,,,,
8-Nov,FLO,FRA,XXX,2,1,2,,,,
2-Dec,FLO,FRA,XXX,1,1,1,,,,
3-Dec,FLO,FRA,XXX,3,1,3,,,,
4-Dec,FLO,FRA,XXX,1,1,1,,,,
8-Dec,FLO,FRA,XXX,1,1,1,,,,
9-Dec,FLO,FRA,XXX,1,1,1,,,,
10-Dec,FLO,FRA,XXX,2,1,2,,,,
13-02,FLO,FRA,XXX,1,1,1,,,,
13-03,FLO,FRA,XXX,1,1,1,,,,
13-04,FLO,FRA,XXX,1,1,1,,,,
13-05,FLO,FRA,XXX,1,1,1,,,,
13-08,FLO,FRA,XXX,1,1,1,,,,
13-09,FLO,FRA,XXX,1,1,1,,,,
13-10,FLO,FRA,XXX,2,1,2,,,,
4-May,FLO,KOL,ANNETTE DAVIS,1,0,0,,,,
3-Jan,FLO,KOL,CAR,1,0,0,,,,
4-Mar,FLO,KOL,CAR,1,0,0,,,,
4-Jun,FLO,KOL,CAR,1,0,0,,,,
2-Aug,FLO,KOL,CAR,2,0,0,,,,
1-Dec,FLO,KOL,CAR,1,0,0,,,,
2-Dec,FLO,KOL,CAR,1,0,0,,,,
4-May,FLO,KOL,CLA,1,0,0,,,,
11-Jul,FLO,KOL,CLA,1,0,0,,,,
10-Aug,FLO,KOL,CLA,1,0,0,,,,
3-Oct,FLO,KOL,CLA,1,0,0,,,,
6-Nov,FLO,KOL,CLA,1,0,0,,,,
2-Dec,FLO,KOL,CLA,1,0,0,,,,
6-Dec,FLO,KOL,CLA,1,0,0,,,,
3-Jan,FLO,KOL,EVE,1,0,0,,,,
1-May,FLO,KOL,EVE,1,0,0,,,,
8-Aug,FLO,KOL,EVE,1,0,0,,,,
11-Sep,FLO,KOL,EVE,1,0,0,,,,
2-Feb,FLO,KOL,FIS,1,0,0,,,,
6-Mar,FLO,KOL,FIS,1,0,0,,,,
4-Apr,FLO,KOL,FIS,1,0,0,,,,
6-May,FLO,KOL,FIS,1,0,0,,,,
4-Jun,FLO,KOL,FIS,1,0,0,,,,
6-Jun,FLO,KOL,FIS,1,0,0,,,,
1-Aug,FLO,KOL,FIS,1,0,0,,,,
7-Aug,FLO,KOL,FIS,1,0,0,,,,
4-Sep,FLO,KOL,FIS,2,0,0,,,,
6-Sep,FLO,KOL,FIS,2,0,0,,,,
8-Sep,FLO,KOL,FIS,1,0,0,,,,
2-Nov,FLO,KOL,FIS,1,0,0,,,,
7-Nov,FLO,KOL,FIS,1,0,0,,,,
8-Nov,FLO,KOL,FIS,1,0,0,,,,
8-Dec,FLO,KOL,FIS,2,0,0,,,,
13-01,FLO,KOL,FIS,1,0,0,,,,
13-06,FLO,KOL,FIS,1,0,0,,,,
13-09,FLO,KOL,FIS,1,0,0,,,,
7-Oct,FLO,KOL,FLO,1,0,0,,,,
10-Feb,FLO,KOL,FRA,1,0,0,,,,
7-Mar,FLO,KOL,FRA,1,0,0,,,,
2-Apr,FLO,KOL,FRA,2,0,0,,,,
4-Apr,FLO,KOL,FRA,1,0,0,,,,
6-Apr,FLO,KOL,FRA,1,0,0,,,,
1-May,FLO,KOL,FRA,1,0,0,,,,
4-May,FLO,KOL,FRA,1,0,0,,,,
5-May,FLO,KOL,FRA,1,0,0,,,,
6-May,FLO,KOL,FRA,2,0,0,,,,
4-Jun,FLO,KOL,FRA,1,0,0,,,,
2-Jul,FLO,KOL,FRA,1,0,0,,,,
7-Jul,FLO,KOL,FRA,1,0,0,,,,
10-Jul,FLO,KOL,FRA,2,0,0,,,,
6-Aug,FLO,KOL,FRA,1,0,0,,,,
10-Aug,FLO,KOL,FRA,1,0,0,,,,
2-Sep,FLO,KOL,FRA,2,0,0,,,,
8-Sep,FLO,KOL,FRA,1,0,0,,,,
9-Sep,FLO,KOL,FRA,2,0,0,,,,
4-Oct,FLO,KOL,FRA,1,0,0,,,,
5-Oct,FLO,KOL,FRA,1,0,0,,,,
6-Nov,FLO,KOL,FRA,1,0,0,,,,
7-Nov,FLO,KOL,FRA,1,0,0,,,,
4-Dec,FLO,KOL,FRA,1,0,0,,,,
5-Dec,FLO,KOL,FRA,1,0,0,,,,
13-04,FLO,KOL,FRA,1,0,0,,,,
13-07,FLO,KOL,FRA,1,0,0,,,,
4-Jan,FLO,KOL,LOM,1,0,0,,,,
9-Feb,FLO,KOL,LOM,1,0,0,,,,
4-Mar,FLO,KOL,LOM,1,0,0,,,,
5-Mar,FLO,KOL,LOM,1,0,0,,,,
8-Mar,FLO,KOL,LOM,2,0,0,,,,
3-May,FLO,KOL,LOM,1,0,0,,,,
4-May,FLO,KOL,LOM,1,0,0,,,,
6-May,FLO,KOL,LOM,2,0,0,,,,
3-Jun,FLO,KOL,LOM,2,0,0,,,,
2-Aug,FLO,KOL,LOM,2,0,0,,,,
8-Sep,FLO,KOL,LOM,2,0,0,,,,
9-Sep,FLO,KOL,LOM,1,0,0,,,,
11-Sep,FLO,KOL,LOM,1,0,0,,,,
3-Oct,FLO,KOL,LOM,1,0,0,,,,
8-Oct,FLO,KOL,LOM,1,0,0,,,,
4-Nov,FLO,KOL,LOM,1,0,0,,,,
4-Dec,FLO,KOL,LOM,1,0,0,,,,
8-Dec,FLO,KOL,LOM,1,0,0,,,,
13-09,FLO,KOL,LOM,1,0,0,,,,
7-Jan,FLO,KOL,MCG,1,0,0,,,,
4-May,FLO,KOL,MCG,1,0,0,,,,
4-Aug,FLO,KOL,MCG,1,0,0,,,,
5-Aug,FLO,KOL,MCG,1,0,0,,,,
6-Oct,FLO,KOL,MCG,1,0,0,,,,
13-03,FLO,KOL,MCG,1,0,0,,,,
7-Feb,FLO,KOL,ROSEMARY NEVILS-WILLIAMS,1,0,0,,,,
8-Jun,FLO,KOL,ROSEMARY NEWIS WILLIAMS,1,0,0,,,,
1-Aug,FLO,KOL,ROSEMARY WILLIAMS,1,0,0,,,,
3-Jan,FLO,KOL,RYB,1,0,0,,,,
6-Jan,FLO,KOL,RYB,1,0,0,,,,
10-Jan,FLO,KOL,RYB,1,0,0,,,,
1-Feb,FLO,KOL,RYB,1,0,0,,,,
6-Feb,FLO,KOL,RYB,1,0,0,,,,
2-Apr,FLO,KOL,RYB,1,0,0,,,,
7-Apr,FLO,KOL,RYB,1,0,0,,,,
8-Apr,FLO,KOL,RYB,1,0,0,,,,
1-May,FLO,KOL,RYB,1,0,0,,,,
4-May,FLO,KOL,RYB,1,0,0,,,,
5-May,FLO,KOL,RYB,1,0,0,,,,
7-May,FLO,KOL,RYB,1,0,0,,,,
3-Jun,FLO,KOL,RYB,1,0,0,,,,
6-Jun,FLO,KOL,RYB,1,0,0,,,,
7-Jun,FLO,KOL,RYB,1,0,0,,,,
1-Jul,FLO,KOL,RYB,1,0,0,,,,
7-Jul,FLO,KOL,RYB,1,0,0,,,,
8-Jul,FLO,KOL,RYB,1,0,0,,,,
2-Aug,FLO,KOL,RYB,2,0,0,,,,
5-Aug,FLO,KOL,RYB,1,0,0,,,,
8-Aug,FLO,KOL,RYB,1,0,0,,,,
10-Aug,FLO,KOL,RYB,1,0,0,,,,
4-Sep,FLO,KOL,RYB,1,0,0,,,,
5-Sep,FLO,KOL,RYB,2,0,0,,,,
7-Sep,FLO,KOL,RYB,2,0,0,,,,
8-Sep,FLO,KOL,RYB,1,0,0,,,,
10-Sep,FLO,KOL,RYB,1,0,0,,,,
11-Sep,FLO,KOL,RYB,1,0,0,,,,
1-Oct,FLO,KOL,RYB,1,0,0,,,,
6-Oct,FLO,KOL,RYB,1,0,0,,,,
2-Nov,FLO,KOL,RYB,1,0,0,,,,
8-Nov,FLO,KOL,RYB,1,0,0,,,,
2-Dec,FLO,KOL,RYB,1,0,0,,,,
13-02,FLO,KOL,RYB,1,0,0,,,,
13-10,FLO,KOL,RYB,3,0,0,,,,
10-Feb,FLO,KOL,WIL,1,0,0,,,,
6-May,FLO,KOL,WIL,1,0,0,,,,
1-Jul,FLO,KOL,WIL,1,0,0,,,,
2-Jan,FLO,KOL,XXX,1,1,1,,,,
3-Jan,FLO,KOL,XXX,1,1,1,,,,
5-Jan,FLO,KOL,XXX,2,1,2,,,,
6-Jan,FLO,KOL,XXX,1,1,1,,,,
1-Feb,FLO,KOL,XXX,1,1,1,,,,
5-Feb,FLO,KOL,XXX,1,1,1,,,,
6-Mar,FLO,KOL,XXX,1,1,1,,,,
7-Mar,FLO,KOL,XXX,1,1,1,,,,
1-Apr,FLO,KOL,XXX,1,1,1,,,,
8-Apr,FLO,KOL,XXX,1,1,1,,,,
3-May,FLO,KOL,XXX,1,1,1,,,,
4-May,FLO,KOL,XXX,1,1,1,,,,
6-May,FLO,KOL,XXX,1,1,1,,,,
8-May,FLO,KOL,XXX,1,1,1,,,,
8-Jun,FLO,KOL,XXX,1,1,1,,,,
3-Jul,FLO,KOL,XXX,1,1,1,,,,
4-Jul,FLO,KOL,XXX,1,1,1,,,,
2-Aug,FLO,KOL,XXX,1,1,1,,,,
5-Aug,FLO,KOL,XXX,1,1,1,,,,
1-Sep,FLO,KOL,XXX,1,1,1,,,,
3-Sep,FLO,KOL,XXX,1,1,1,,,,
4-Sep,FLO,KOL,XXX,3,1,3,,,,
5-Sep,FLO,KOL,XXX,1,1,1,,,,
6-Sep,FLO,KOL,XXX,1,1,1,,,,
8-Sep,FLO,KOL,XXX,1,1,1,,,,
11-Sep,FLO,KOL,XXX,1,1,1,,,,
2-Oct,FLO,KOL,XXX,2,1,2,,,,
7-Oct,FLO,KOL,XXX,1,1,1,,,,
6-Nov,FLO,KOL,XXX,1,1,1,,,,
4-Dec,FLO,KOL,XXX,2,1,2,,,,
8-Dec,FLO,KOL,XXX,1,1,1,,,,
10-Dec,FLO,KOL,XXX,1,1,1,,,,
13-10,FLO,KOL,XXX,2,1,2,,,,
1-May,FLO,LOM,CLA,1,0,0,,,,
3-Oct,FLO,LOM,CLA,1,0,0,,,,
6-Dec,FLO,LOM,CLA,1,0,0,,,,
1-Mar,FLO,LOM,FIS,1,0,0,,,,
7-Apr,FLO,LOM,FIS,1,0,0,,,,
8-Sep,FLO,LOM,FIS,1,0,0,,,,
1-Nov,FLO,LOM,FIS,1,0,0,,,,
7-Jan,FLO,LOM,FRA,1,0,0,,,,
8-Jan,FLO,LOM,FRA,1,0,0,,,,
9-Jan,FLO,LOM,FRA,1,0,0,,,,
3-Feb,FLO,LOM,FRA,1,0,0,,,,
1-Mar,FLO,LOM,FRA,1,0,0,,,,
7-Apr,FLO,LOM,FRA,1,0,0,,,,
1-May,FLO,LOM,FRA,1,0,0,,,,
2-May,FLO,LOM,FRA,1,0,0,,,,
8-Dec,FLO,LOM,FRA,1,0,0,,,,
9-Apr,FLO,LOM,KOL,1,0,0,,,,
10-May,FLO,LOM,KOL,2,0,0,,,,
1-Jul,FLO,LOM,KOL,1,0,0,,,,
7-Oct,FLO,LOM,KOL,1,0,0,,,,
3-Nov,FLO,LOM,KOL,1,0,0,,,,
6-Dec,FLO,LOM,KOL,1,0,0,,,,
3-May,FLO,LOM,MCG,1,0,0,,,,
7-Feb,FLO,LOM,RYB,1,0,0,,,,
3-Mar,FLO,LOM,RYB,1,0,0,,,,
7-Apr,FLO,LOM,RYB,1,0,0,,,,
3-May,FLO,LOM,RYB,1,0,0,,,,
6-May,FLO,LOM,RYB,2,0,0,,,,
8-May,FLO,LOM,RYB,1,0,0,,,,
8-Sep,FLO,LOM,RYB,1,0,0,,,,
5-Dec,FLO,LOM,RYB,1,0,0,,,,
13-09,FLO,LOM,RYB,1,0,0,,,,
1-Sep,FLO,LOM,WIL,1,0,0,,,,
3-Feb,FLO,LOM,XXX,1,1,1,,,,
10-Feb,FLO,LOM,XXX,1,1,1,,,,
8-Apr,FLO,LOM,XXX,2,1,2,,,,
1-May,FLO,LOM,XXX,1,1,1,,,,
6-May,FLO,LOM,XXX,1,1,1,,,,
1-Jul,FLO,LOM,XXX,1,1,1,,,,
7-Aug,FLO,LOM,XXX,1,1,1,,,,
8-Sep,FLO,LOM,XXX,1,1,1,,,,
4-Nov,FLO,LOM,XXX,1,1,1,,,,
9-Dec,FLO,LOM,XXX,1,1,1,,,,
2-May,FLO,MCG,CAR,1,0,0,,,,
13-01,FLO,MCG,CAR,1,0,0,,,,
6-Apr,FLO,MCG,EVE,1,0,0,,,,
1-May,FLO,MCG,EVE,1,0,0,,,,
7-Dec,FLO,MCG,EVE,1,0,0,,,,
5-Apr,FLO,MCG,FIS,1,0,0,,,,
9-Feb,FLO,MCG,FRA,1,0,0,,,,
5-Mar,FLO,MCG,FRA,1,0,0,,,,
6-Apr,FLO,MCG,FRA,1,0,0,,,,
6-May,FLO,MCG,LOM,1,0,0,,,,
10-Aug,FLO,MCG,RYB,1,0,0,,,,
9-Mar,FLO,MCG,XXX,1,1,1,,,,
3-May,FLO,MCG,XXX,1,1,1,,,,
7-Feb,FLO,MICK KELLY,ROSEMARY NEVILS-WILLIAMS,1,0,0,,,,
1-May,FLO,RODNEY WILSON,XXX,1,1,1,,,,
9-Feb,FLO,RYB,CAR,1,0,0,,,,
4-Jun,FLO,RYB,CAR,1,0,0,,,,
9-Jan,FLO,RYB,CLA,1,0,0,,,,
3-May,FLO,RYB,CLA,1,0,0,,,,
6-May,FLO,RYB,CLA,1,0,0,,,,
2-Jun,FLO,RYB,CLA,1,0,0,,,,
5-Aug,FLO,RYB,CLA,1,0,0,,,,
10-Aug,FLO,RYB,CLA,1,0,0,,,,
4-Sep,FLO,RYB,CLA,1,0,0,,,,
3-Dec,FLO,RYB,CLA,1,0,0,,,,
1-Apr,FLO,RYB,EVE,1,0,0,,,,
5-Apr,FLO,RYB,EVE,1,0,0,,,,
1-May,FLO,RYB,EVE,1,0,0,,,,
3-May,FLO,RYB,EVE,1,0,0,,,,
4-May,FLO,RYB,EVE,1,0,0,,,,
5-May,FLO,RYB,EVE,1,0,0,,,,
10-May,FLO,RYB,EVE,1,0,0,,,,
5-Jul,FLO,RYB,EVE,1,0,0,,,,
6-Jul,FLO,RYB,EVE,1,0,0,,,,
10-Jul,FLO,RYB,EVE,2,0,0,,,,
4-Aug,FLO,RYB,EVE,1,0,0,,,,
7-Aug,FLO,RYB,EVE,1,0,0,,,,
7-Dec,FLO,RYB,EVE,1,0,0,,,,
8-Dec,FLO,RYB,EVE,2,0,0,,,,
2-Jan,FLO,RYB,FIS,1,0,0,,,,
5-Jan,FLO,RYB,FIS,1,0,0,,,,
1-Feb,FLO,RYB,FIS,1,0,0,,,,
3-Feb,FLO,RYB,FIS,1,0,0,,,,
8-Feb,FLO,RYB,FIS,1,0,0,,,,
9-Feb,FLO,RYB,FIS,2,0,0,,,,
10-Feb,FLO,RYB,FIS,1,0,0,,,,
9-Mar,FLO,RYB,FIS,1,0,0,,,,
2-Apr,FLO,RYB,FIS,1,0,0,,,,
8-Apr,FLO,RYB,FIS,1,0,0,,,,
3-May,FLO,RYB,FIS,1,0,0,,,,
5-May,FLO,RYB,FIS,1,0,0,,,,
2-Jun,FLO,RYB,FIS,4,0,0,,,,
3-Jun,FLO,RYB,FIS,1,0,0,,,,
4-Jun,FLO,RYB,FIS,2,0,0,,,,
2-Aug,FLO,RYB,FIS,1,0,0,,,,
6-Aug,FLO,RYB,FIS,1,0,0,,,,
1-Sep,FLO,RYB,FIS,2,0,0,,,,
5-Sep,FLO,RYB,FIS,1,0,0,,,,
7-Sep,FLO,RYB,FIS,1,0,0,,,,
3-Oct,FLO,RYB,FIS,1,0,0,,,,
8-Oct,FLO,RYB,FIS,1,0,0,,,,
2-Jan,FLO,RYB,FRA,1,0,0,,,,
3-Jan,FLO,RYB,FRA,6,0,0,,,,
4-Jan,FLO,RYB,FRA,1,0,0,,,,
6-Jan,FLO,RYB,FRA,1,0,0,,,,
7-Jan,FLO,RYB,FRA,1,0,0,,,,
8-Jan,FLO,RYB,FRA,1,0,0,,,,
9-Jan,FLO,RYB,FRA,2,0,0,,,,
10-Jan,FLO,RYB,FRA,1,0,0,,,,
1-Feb,FLO,RYB,FRA,1,0,0,,,,
2-Feb,FLO,RYB,FRA,2,0,0,,,,
6-Feb,FLO,RYB,FRA,1,0,0,,,,
7-Feb,FLO,RYB,FRA,2,0,0,,,,
9-Feb,FLO,RYB,FRA,1,0,0,,,,
1-Mar,FLO,RYB,FRA,1,0,0,,,,
3-Mar,FLO,RYB,FRA,2,0,0,,,,
5-Mar,FLO,RYB,FRA,1,0,0,,,,
6-Mar,FLO,RYB,FRA,5,0,0,,,,
7-Mar,FLO,RYB,FRA,1,0,0,,,,
8-Mar,FLO,RYB,FRA,1,0,0,,,,
9-Mar,FLO,RYB,FRA,2,0,0,,,,
1-Apr,FLO,RYB,FRA,5,0,0,,,,
2-Apr,FLO,RYB,FRA,1,0,0,,,,
3-Apr,FLO,RYB,FRA,3,0,0,,,,
5-Apr,FLO,RYB,FRA,2,0,0,,,,
6-Apr,FLO,RYB,FRA,5,0,0,,,,
7-Apr,FLO,RYB,FRA,1,0,0,,,,
8-Apr,FLO,RYB,FRA,4,0,0,,,,
10-Apr,FLO,RYB,FRA,1,0,0,,,,
1-May,FLO,RYB,FRA,5,0,0,,,,
2-May,FLO,RYB,FRA,1,0,0,,,,
3-May,FLO,RYB,FRA,4,0,0,,,,
4-May,FLO,RYB,FRA,2,0,0,,,,
5-May,FLO,RYB,FRA,6,0,0,,,,
6-May,FLO,RYB,FRA,8,0,0,,,,
9-May,FLO,RYB,FRA,1,0,0,,,,
2-Jun,FLO,RYB,FRA,3,0,0,,,,
4-Jun,FLO,RYB,FRA,2,0,0,,,,
5-Jun,FLO,RYB,FRA,2,0,0,,,,
3-Jul,FLO,RYB,FRA,2,0,0,,,,
4-Jul,FLO,RYB,FRA,1,0,0,,,,
6-Jul,FLO,RYB,FRA,2,0,0,,,,
8-Jul,FLO,RYB,FRA,2,0,0,,,,
10-Jul,FLO,RYB,FRA,3,0,0,,,,
1-Aug,FLO,RYB,FRA,1,0,0,,,,
2-Aug,FLO,RYB,FRA,1,0,0,,,,
3-Aug,FLO,RYB,FRA,4,0,0,,,,
4-Aug,FLO,RYB,FRA,1,0,0,,,,
5-Aug,FLO,RYB,FRA,1,0,0,,,,
5-Aug,FLO,RYB,FRA,2,0,0,,,,
6-Aug,FLO,RYB,FRA,2,0,0,,,,
8-Aug,FLO,RYB,FRA,1,0,0,,,,
10-Aug,FLO,RYB,FRA,2,0,0,,,,
3-Sep,FLO,RYB,FRA,1,0,0,,,,
6-Sep,FLO,RYB,FRA,1,0,0,,,,
7-Sep,FLO,RYB,FRA,1,0,0,,,,
8-Sep,FLO,RYB,FRA,1,0,0,,,,
3-Oct,FLO,RYB,FRA,2,0,0,,,,
4-Oct,FLO,RYB,FRA,1,0,0,,,,
5-Oct,FLO,RYB,FRA,1,0,0,,,,
9-Oct,FLO,RYB,FRA,1,0,0,,,,
2-Nov,FLO,RYB,FRA,1,0,0,,,,
6-Nov,FLO,RYB,FRA,1,0,0,,,,
7-Nov,FLO,RYB,FRA,1,0,0,,,,
8-Nov,FLO,RYB,FRA,1,0,0,,,,
1-Dec,FLO,RYB,FRA,1,0,0,,,,
2-Dec,FLO,RYB,FRA,4,0,0,,,,
3-Dec,FLO,RYB,FRA,1,0,0,,,,
4-Dec,FLO,RYB,FRA,2,0,0,,,,
6-Dec,FLO,RYB,FRA,2,0,0,,,,
8-Dec,FLO,RYB,FRA,1,0,0,,,,
10-Dec,FLO,RYB,FRA,1,0,0,,,,
13-04,FLO,RYB,FRA,2,0,0,,,,
10-Jan,FLO,RYB,KOL,1,0,0,,,,
2-Feb,FLO,RYB,KOL,1,0,0,,,,
3-Feb,FLO,RYB,KOL,1,0,0,,,,
6-Feb,FLO,RYB,KOL,1,0,0,,,,
10-Feb,FLO,RYB,KOL,1,0,0,,,,
4-Mar,FLO,RYB,KOL,1,0,0,,,,
7-Mar,FLO,RYB,KOL,1,0,0,,,,
3-Apr,FLO,RYB,KOL,1,0,0,,,,
4-Apr,FLO,RYB,KOL,2,0,0,,,,
6-Apr,FLO,RYB,KOL,1,0,0,,,,
6-May,FLO,RYB,KOL,1,0,0,,,,
10-May,FLO,RYB,KOL,1,0,0,,,,
2-Jun,FLO,RYB,KOL,2,0,0,,,,
4-Aug,FLO,RYB,KOL,1,0,0,,,,
5-Aug,FLO,RYB,KOL,2,0,0,,,,
9-Aug,FLO,RYB,KOL,1,0,0,,,,
5-Sep,FLO,RYB,KOL,2,0,0,,,,
6-Sep,FLO,RYB,KOL,1,0,0,,,,
7-Sep,FLO,RYB,KOL,2,0,0,,,,
8-Sep,FLO,RYB,KOL,1,0,0,,,,
9-Sep,FLO,RYB,KOL,1,0,0,,,,
10-Oct,FLO,RYB,KOL,1,0,0,,,,
1-Nov,FLO,RYB,KOL,1,0,0,,,,
1-Dec,FLO,RYB,KOL,1,0,0,,,,
2-Dec,FLO,RYB,KOL,1,0,0,,,,
8-Dec,FLO,RYB,KOL,2,0,0,,,,
9-Dec,FLO,RYB,KOL,1,0,0,,,,
13-07,FLO,RYB,KOL,1,0,0,,,,
3-Jan,FLO,RYB,LOM,1,0,0,,,,
5-Jan,FLO,RYB,LOM,1,0,0,,,,
7-Jan,FLO,RYB,LOM,1,0,0,,,,
6-Mar,FLO,RYB,LOM,1,0,0,,,,
9-Mar,FLO,RYB,LOM,1,0,0,,,,
1-Apr,FLO,RYB,LOM,1,0,0,,,,
4-Apr,FLO,RYB,LOM,1,0,0,,,,
9-Apr,FLO,RYB,LOM,1,0,0,,,,
2-Jun,FLO,RYB,LOM,2,0,0,,,,
7-Jul,FLO,RYB,LOM,1,0,0,,,,
8-Jul,FLO,RYB,LOM,1,0,0,,,,
2-Aug,FLO,RYB,LOM,1,0,0,,,,
4-Sep,FLO,RYB,LOM,1,0,0,,,,
6-Oct,FLO,RYB,LOM,1,0,0,,,,
2-Dec,FLO,RYB,LOM,1,0,0,,,,
8-Dec,FLO,RYB,LOM,1,0,0,,,,
11-Dec,FLO,RYB,LOM,1,0,0,,,,
4-May,FLO,RYB,MCG,1,0,0,,,,
5-May,FLO,RYB,MCG,1,0,0,,,,
1-Jun,FLO,RYB,MCG,1,0,0,,,,
7-Oct,FLO,RYB,MCG,1,0,0,,,,
2-May,FLO,RYB,SILAS MEANS,1,0,0,,,,
5-Oct,FLO,RYB,WIL,1,0,0,,,,
2-Jan,FLO,RYB,XXX,6,1,6,,,,
5-Jan,FLO,RYB,XXX,2,1,2,,,,
8-Jan,FLO,RYB,XXX,1,1,1,,,,
10-Jan,FLO,RYB,XXX,1,1,1,,,,
2-Feb,FLO,RYB,XXX,3,1,3,,,,
3-Feb,FLO,RYB,XXX,1,1,1,,,,
6-Feb,FLO,RYB,XXX,1,1,1,,,,
7-Feb,FLO,RYB,XXX,1,1,1,,,,
10-Feb,FLO,RYB,XXX,3,1,3,,,,
11-Feb,FLO,RYB,XXX,1,1,1,,,,
2-Mar,FLO,RYB,XXX,2,1,2,,,,
9-Mar,FLO,RYB,XXX,1,1,1,,,,
1-Apr,FLO,RYB,XXX,2,1,2,,,,
2-Apr,FLO,RYB,XXX,1,1,1,,,,
3-Apr,FLO,RYB,XXX,3,1,3,,,,
4-Apr,FLO,RYB,XXX,1,1,1,,,,
5-Apr,FLO,RYB,XXX,1,1,1,,,,
6-Apr,FLO,RYB,XXX,3,1,3,,,,
7-Apr,FLO,RYB,XXX,4,1,4,,,,
8-Apr,FLO,RYB,XXX,4,1,4,,,,
9-Apr,FLO,RYB,XXX,1,1,1,,,,
1-May,FLO,RYB,XXX,3,1,3,,,,
3-May,FLO,RYB,XXX,3,1,3,,,,
4-May,FLO,RYB,XXX,6,1,6,,,,
5-May,FLO,RYB,XXX,5,1,5,,,,
6-May,FLO,RYB,XXX,1,1,1,,,,
7-May,FLO,RYB,XXX,1,1,1,,,,
8-May,FLO,RYB,XXX,1,1,1,,,,
10-May,FLO,RYB,XXX,2,1,2,,,,
2-Jun,FLO,RYB,XXX,3,1,3,,,,
5-Jun,FLO,RYB,XXX,3,1,3,,,,
2-Jul,FLO,RYB,XXX,1,1,1,,,,
4-Jul,FLO,RYB,XXX,1,1,1,,,,
6-Jul,FLO,RYB,XXX,1,1,1,,,,
7-Jul,FLO,RYB,XXX,1,1,1,,,,
8-Jul,FLO,RYB,XXX,5,1,5,,,,
1-Aug,FLO,RYB,XXX,1,1,1,,,,
2-Aug,FLO,RYB,XXX,4,1,4,,,,
3-Aug,FLO,RYB,XXX,2,1,2,,,,
5-Aug,FLO,RYB,XXX,1,1,1,,,,
7-Aug,FLO,RYB,XXX,1,1,1,,,,
8-Aug,FLO,RYB,XXX,3,1,3,,,,
9-Aug,FLO,RYB,XXX,3,1,3,,,,
10-Aug,FLO,RYB,XXX,4,1,4,,,,
2-Sep,FLO,RYB,XXX,1,1,1,,,,
5-Sep,FLO,RYB,XXX,1,1,1,,,,
6-Sep,FLO,RYB,XXX,6,1,6,,,,
7-Sep,FLO,RYB,XXX,1,1,1,,,,
8-Sep,FLO,RYB,XXX,3,1,3,,,,
9-Sep,FLO,RYB,XXX,5,1,5,,,,
2-Oct,FLO,RYB,XXX,1,1,1,,,,
5-Oct,FLO,RYB,XXX,2,1,2,,,,
7-Oct,FLO,RYB,XXX,3,1,3,,,,
9-Oct,FLO,RYB,XXX,2,1,2,,,,
1-Nov,FLO,RYB,XXX,2,1,2,,,,
4-Nov,FLO,RYB,XXX,2,1,2,,,,
5-Nov,FLO,RYB,XXX,1,1,1,,,,
6-Nov,FLO,RYB,XXX,2,1,2,,,,
7-Nov,FLO,RYB,XXX,3,1,3,,,,
8-Nov,FLO,RYB,XXX,3,1,3,,,,
1-Dec,FLO,RYB,XXX,1,1,1,,,,
5-Dec,FLO,RYB,XXX,1,1,1,,,,
8-Dec,FLO,RYB,XXX,4,1,4,,,,
11-Dec,FLO,RYB,XXX,1,1,1,,,,
13-01,FLO,RYB,XXX,1,1,1,,,,
13-02,FLO,RYB,XXX,1,1,1,,,,
13-03,FLO,RYB,XXX,2,1,2,,,,
13-04,FLO,RYB,XXX,2,1,2,,,,
13-07,FLO,RYB,XXX,1,1,1,,,,
13-08,FLO,RYB,XXX,1,1,1,,,,
13-10,FLO,RYB,XXX,1,1,1,,,,
